Open,High,Low,Close,DayofWeek_1,DayofWeek_2,DayofWeek_3,DayofWeek_4
6.225,6.3,6.2125,6.3,0,0,0,1
6.3,6.46,6.3,6.425,0,0,0,0
6.425,6.43,6.1775,6.225,1,0,0,0
6.225,6.27,6.2125,6.235,0,1,0,0
6.225,6.4325,6.225,6.4325,0,0,1,0
6.4325,6.4675,6.3125,6.3125,0,0,0,1
6.3025,6.35,5.975,6.1175,0,0,0,0
6.125,6.4425,6.1075,6.3875,1,0,0,0
6.375,6.4875,6.225,6.355,0,1,0,0
6.3375,6.4725,6.325,6.405,0,0,1,0
6.4,6.54,6.4,6.4575,0,0,0,1
6.45,6.4525,6.1,6.17,0,0,0,0
6.2325,6.5125,6.2,6.5125,1,0,0,0
6.5125,6.6275,6.4625,6.62,0,1,0,0
6.595,6.75,6.595,6.725,0,0,1,0
6.7375,6.7875,6.5625,6.6725,0,0,0,1
6.6875,7.1,6.6875,7.1,0,0,0,0
7.1875,7.2875,6.9375,7.115,1,0,0,0
7.0875,7.0875,6.8625,6.92,0,1,0,0
6.875,6.9925,6.825,6.8875,0,0,1,0
6.8375,6.925,6.725,6.86,0,0,0,1
6.9225,7.175,6.875,7.155,0,0,0,0
7.175,7.275,7.05,7.1375,0,1,0,0
7.1,7.1025,6.8875,6.9025,0,0,1,0
6.9375,7.275,6.9375,7.19,0,0,0,1
7.19,7.19,6.8875,6.9075,0,0,0,0
6.9125,6.93,6.625,6.85,0,1,0,0
6.875,6.9975,6.75,6.7625,0,0,1,0
6.7625,6.8625,6.75,6.8375,0,0,0,1
6.825,6.8625,6.7525,6.8275,0,0,0,0
6.83,6.8725,6.725,6.825,1,0,0,0
6.8125,6.9575,6.7475,6.75,0,1,0,0
6.7375,6.7725,6.6525,6.7,0,0,1,0
6.7,6.7025,6.45,6.46,0,0,0,1
6.4375,6.5125,6.275,6.5125,0,0,0,0
6.5,6.625,6.475,6.625,1,0,0,0
6.625,6.66,6.5,6.5075,0,1,0,0
6.51,6.625,6.4775,6.5075,0,0,1,0
6.525,6.6625,6.5,6.5,0,0,0,1
6.5025,6.595,6.475,6.5425,1,0,0,0
6.545,6.6875,6.5,6.6875,0,1,0,0
6.7,6.7375,6.575,6.66,0,0,1,0
6.65,6.8125,6.635,6.7525,0,0,0,1
6.7525,6.845,6.695,6.8425,0,0,0,0
6.845,6.9525,6.725,6.7375,1,0,0,0
6.735,6.8425,6.675,6.8375,0,1,0,0
6.8425,6.8925,6.7175,6.7325,0,0,1,0
6.7625,6.9125,6.7625,6.885,0,0,0,1
6.875,6.8875,6.25,6.4125,0,0,0,0
6.415,6.7175,6.3625,6.365,1,0,0,0
6.625,7.1175,6.575,7.0,0,1,0,0
6.95,7.15,6.95,7.0975,0,0,1,0
7.1375,7.4,7.1125,7.25,0,0,0,1
7.25,7.3825,7.1625,7.3825,0,0,0,0
7.35,7.35,6.95,7.0,1,0,0,0
7.0,7.1375,6.985,7.075,0,1,0,0
7.075,7.1875,7.045,7.1,0,0,1,0
7.075,7.0875,6.9,6.9125,0,0,0,1
6.9125,6.9125,6.7,6.75,1,0,0,0
6.8125,7.25,6.8025,7.2125,0,1,0,0
7.1625,7.39,6.85,6.85,0,0,1,0
6.8375,7.3375,6.75,7.245,0,0,0,1
7.2075,7.2375,6.825,6.8875,0,0,0,0
6.95,7.075,6.91,6.91,1,0,0,0
6.91,7.04,6.91,7.015,0,1,0,0
7.025,7.225,6.9875,7.1325,0,0,1,0
7.125,7.1275,6.8225,6.9375,0,0,0,1
6.8875,6.9375,6.79,6.8575,0,0,0,0
6.8825,6.9375,6.7875,6.9275,1,0,0,0
6.9125,7.1475,6.89,7.0325,0,1,0,0
7.0375,7.0625,6.9325,6.9625,0,0,1,0
7.0,7.0875,6.9125,6.955,0,0,0,1
6.9625,6.9625,6.75,6.7675,0,0,0,0
6.7925,7.075,6.725,7.025,1,0,0,0
7.0,7.0,6.75,6.925,0,1,0,0
6.975,7.0125,6.85,6.935,0,0,1,0
6.8725,7.025,6.8725,6.935,0,0,0,1
6.925,7.0125,6.9225,6.975,0,0,0,0
6.975,7.085,6.825,7.0,1,0,0,0
7.0,7.0,6.88,6.8975,0,1,0,0
6.8875,7.075,6.825,7.0,0,0,1,0
7.0,7.0,6.8775,6.9125,0,0,0,1
6.85,6.8625,6.75,6.8,0,0,0,0
6.825,7.0375,6.825,7.03,1,0,0,0
7.05,7.1675,6.675,6.805,0,1,0,0
6.825,7.0175,6.825,6.9875,0,0,1,0
6.975,6.975,6.8125,6.9,0,0,0,0
6.9,6.9,6.705,6.7175,1,0,0,0
6.7175,6.8,6.5125,6.735,0,1,0,0
6.6725,6.85,6.6625,6.805,0,0,1,0
6.7875,6.8,6.65,6.675,0,0,0,1
6.65,6.7425,6.6,6.655,0,0,0,0
6.68,6.9625,6.68,6.8525,1,0,0,0
6.8525,6.895,6.725,6.765,0,1,0,0
6.775,6.825,6.7625,6.7625,0,0,1,0
6.8125,6.9675,6.8,6.9675,0,0,0,1
6.9675,6.985,6.7125,6.7475,0,0,0,0
6.75,7.0125,6.75,6.9975,1,0,0,0
7.0,7.0,6.715,6.725,0,1,0,0
6.75,6.9125,6.7475,6.8375,0,0,1,0
6.8375,6.8375,6.7,6.7,0,0,0,1
6.725,6.825,6.705,6.7625,0,0,0,0
6.775,6.775,6.6975,6.7025,1,0,0,0
6.575,6.645,5.9775,6.1,0,1,0,0
6.1,6.345,6.1,6.25,0,0,1,0
6.225,6.3125,6.225,6.285,0,0,0,1
6.285,6.285,6.125,6.2,0,0,0,0
